  Built-in function ,  LinearRegAngle ,  02/22/2006 ,  15:09  
  Built-in function ,  LinearRegAngleFC ,  02/22/2006 ,  15:16  
  Built-in function ,  LinearRegFC ,  02/22/2006 ,  15:17  
  Built-in function ,  LinearRegSlope ,  02/22/2006 ,  15:24  
  Built-in function ,  LinearRegSlopeFC ,  02/22/2006 ,  15:24  
  Built-in function ,  LinearRegValue ,  02/22/2006 ,  15:25  
  Built-in function ,  LinearRegValueFC ,  02/22/2006 ,  15:25  
  Built-in function ,  LinRegAngleArray ,  02/22/2006 ,  15:26  
  Built-in function ,  LinRegAngleArray2 ,  03/05/2008 ,  10:25  
  Built-in function ,  LinRegArray ,  02/22/2006 ,  15:26  
  Built-in function ,  LinRegArray2 ,  03/05/2008 ,  10:24  
  Built-in function ,  LinRegForecastArray ,  02/22/2006 ,  15:27  
  Built-in function ,  LinRegForecastArray2 ,  03/05/2008 ,  10:23  
  Built-in function ,  LinRegIntercepArray2 ,  03/05/2008 ,  10:22  
  Built-in function ,  LinRegInterceptArray ,  02/22/2006 ,  15:29  
  Built-in function ,  LinRegSlopeArray ,  02/22/2006 ,  15:29  
  Built-in function ,  LinRegSlopeArray2 ,  03/05/2008 ,  10:22  
  Built-in function ,  LogXY ,  07/25/2017 ,  16:03  
  Built-in function ,  LowD ,  06/18/2009 ,  15:13  
  Built-in function ,  Lowest ,  02/22/2006 ,  15:30  
  Built-in function ,  LowestArray ,  02/22/2006 ,  15:30  
  Built-in function ,  LowestBar ,  02/22/2006 ,  15:31  
  Built-in function ,  LowestFC ,  02/22/2006 ,  15:31  
  Built-in function ,  LowM ,  06/18/2009 ,  15:13  
  Built-in function ,  LowSession ,  06/14/2017 ,  15:20  
  Built-in function ,  LowW ,  06/18/2009 ,  15:13  
  Built-in function ,  LowY ,  06/18/2009 ,  15:12  
  Built-in function ,  LRO ,  02/22/2006 ,  15:33  
  Built-in function ,  LWAccDis ,  02/22/2006 ,  15:33  
  Built-in function ,  MACD ,  02/22/2006 ,  15:34  
  Built-in function ,  MAMA ,  03/21/2013 ,  13:28  
  Built-in function ,  MamaBase ,  03/21/2013 ,  13:00  
  Built-in function ,  MarketIfTouchedOrder ,  09/12/2006 ,  13:27  
