iShares Global Energy ETF,,,,,,,,,,,,,,,,,
Fund Holdings as of,14-Jul-20,,,,,,,,,,,,,,,,
Inception Date,12-Nov-01,,,,,,,,,,,,,,,,
Shares Outstanding,"43,050,000.00",,,,,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
CVE,CENOVUS ENERGY INC,Energy,Equity,"2,681,487.49",0.32,"2,681,487.49","607,551.00",15135U109,CA15135U1093,B57FG04,4.41,Canada,Toronto Stock Exchange,USD,1.36,-,CAD
CCO,CAMECO CORP,Energy,Equity,"2,592,939.50",0.31,"2,592,939.50","238,246.00",13321L108,CA13321L1085,2166160,10.88,Canada,Toronto Stock Exchange,USD,1.36,-,CAD
MRO,MARATHON OIL CORP,Energy,Equity,"2,535,397.17",0.3,"2,535,397.17","472,141.00",565849106,US5658491064,2910970,5.37,United States,New York Stock Exchange Inc.,USD,1,-,USD
HFC,HOLLYFRONTIER CORP,Energy,Equity,"2,423,932.91",0.29,"2,423,932.91","89,017.00",436106108,US4361061082,B5VX1H6,27.23,United States,New York Stock Exchange Inc.,USD,1,-,USD
IPL,INTER PIPELINE LTD,Energy,Equity,"2,412,727.40",0.29,"2,412,727.40","255,674.00",45833V109,CA45833V1094,BDD54N3,9.44,Canada,Toronto Stock Exchange,USD,1.36,-,CAD
DVN,DEVON ENERGY CORP,Energy,Equity,"2,388,261.40",0.29,"2,388,261.40","228,980.00",25179M103,US25179M1036,2480677,10.43,United States,New York Stock Exchange Inc.,USD,1,-,USD
OSH,OIL SEARCH LTD,Energy,Equity,"2,327,604.92",0.28,"2,327,604.92","1,117,438.00",S66576042,PG0008579883,6657604,2.08,Australia,Asx - All Markets,USD,1.44,-,AUD
IMO,IMPERIAL OIL LTD,Energy,Equity,"2,191,683.74",0.26,"2,191,683.74","135,225.00",453038408,CA4530384086,2454241,16.21,Canada,Toronto Stock Exchange,USD,1.36,-,CAD
FTI,TECHNIPFMC PLC,Energy,Equity,"1,870,576.80",0.22,"1,870,576.80","251,760.00",-,GB00BDSFG982,BDSFG98,7.43,United States,New York Stock Exchange Inc.,USD,1,-,USD
COPEC,EMPRESAS COPEC SA,Energy,Equity,"1,804,876.32",0.22,"1,804,876.32","218,776.00",S21960265,CLP7847L1080,2196026,8.25,Chile,Santiago Stock Exchange,USD,787.89,-,CLP
